i,y,x0,x1,x2,x3,f,f0,f1,f2
1,11.16923165,0.8966972,0.78285134,0.147845707,0.450485437,11.949251,0.63773679,4.786037,6.525477
2,2.81289625,0.26550866,0.26750821,0.658877609,0.81425175,6.451341,1.48141126,1.707476,3.262453
3,12.89677332,0.3721239,0.21864528,0.185069965,0.928777226,11.578412,1.84076823,1.548506,8.189138
4,5.67931657,0.57285336,0.51679684,0.954378137,0.147481045,4.760073,1.94784424,2.81115,0.001078931
5,5.58390921,0.90820779,0.26895059,0.897848492,0.749821665,2.350657,0.56878697,1.712409,0.0694605
6,-1.08822678,0.20168193,0.18116833,0.943697054,0.97565735,2.624154,1.18410365,1.436683,0.003368028
7,5.42296982,0.89838968,0.51857614,0.723690751,0.974792463,5.996618,0.62764874,2.821172,2.547797
8,12.12770167,0.94467527,0.56278294,0.370357066,0.35062557,8.627058,0.34586799,3.08196,5.19923
9,4.73361018,0.66079779,0.12915685,0.78101754,0.393949057,4.500783,1.75019298,1.294745,1.455845
10,6.28846164,0.62911404,0.2563676,0.011149509,0.950951009,3.519955,1.83771291,1.669852,0.01239006
11,5.74212274,0.06178627,0.71793528,0.940308712,0.10664832,4.593681,0.38578134,4.203303,0.004596965
12,8.31893312,0.20597457,0.96140994,0.993749226,0.934760117,8.045951,1.20573163,6.84022,1.113467e-08
13,9.75558731,0.17655675,0.10014085,0.357405745,0.3461621,7.927155,1.05332458,1.221747,5.652084
14,4.77672978,0.68702285,0.76322269,0.747635063,0.533060606,8.378382,1.66460298,4.60179,2.111989
15,9.07733128,0.38410372,0.94796635,0.792909024,0.538794299,9.757093,1.86889005,6.658756,1.229446
16,10.50118085,0.76984142,0.81863469,0.705859006,0.71471795,9.288652,1.32337097,5.141112,2.824169
17,9.39613544,0.49769924,0.30829233,0.475825039,0.4057905,6.713875,1.99994776,1.85259,2.861337
18,9.51094349,0.71761851,0.64957946,0.494654526,0.152788141,7.976369,1.55052127,3.666212,2.759636
19,14.57664644,0.99190609,0.95335545,0.308052449,0.340232761,14.189195,0.05085003,6.730914,7.407431
